tempo_ms,hx_raw,hx_net,delta,spikes
292,217018,310,310,0
584,216873,165,-145,0
876,216861,153,-12,0
1168,216868,160,7,0
1460,216900,192,32,0
1753,216800,92,-100,0
2383,216871,163,71,0
2675,216815,107,-56,0
2968,216812,104,-3,0
3259,216727,19,-85,0
3552,216777,69,50,0
3844,216924,216,147,0
4137,216920,212,-4,0
4428,217019,311,99,0
4721,216914,206,-105,0
5013,216822,114,-92,0
5305,216822,114,0,0
5598,217078,370,256,0
5889,216870,162,-208,0
6520,216709,1,-161,0
6812,216837,129,128,0
7104,216916,208,79,0
7397,216984,276,68,0
7689,216854,146,-130,0
7982,216563,-145,-291,0
8273,216700,-8,137,0
8566,216664,-44,-36,0
8858,216700,-8,36,0
9150,216595,-113,-105,0
9442,216780,72,185,0
10072,216782,74,2,0
10364,216820,112,38,0
10657,216882,174,62,0
11288,216672,-36,-210,0
11917,2940711,2724003,2724039,1
12209,216982,274,-2723729,2
12502,216988,280,6,2
12794,216645,-63,-343,2
13087,216769,61,124,2
13379,216872,164,103,2
13671,216924,216,52,2
13963,216908,200,-16,2
14594,216733,25,-175,2
14887,216764,56,31,2
15518,2940714,2724006,2723950,3
15810,216751,43,-2723963,4
16102,216822,114,71,4
16395,216754,46,-68,4
16686,216737,29,-17,4
16979,216671,-37,-66,4
17271,216893,185,222,4
17563,217004,296,111,4
17856,216872,164,-132,4
18148,216832,124,-40,4
18441,216673,-35,-159,4
18732,216654,-54,-19,4
19024,216802,94,148,4
19317,216737,29,-65,4
19609,216825,117,88,4
19902,216909,201,84,4
20194,216807,99,-102,4
20486,216971,263,164,4
20779,216612,-96,-359,4
21071,216928,220,316,4
21700,220998,4290,4070,4
21993,217051,343,-3947,4
22285,216740,32,-311,4
22915,843731,627023,626991,5
23207,216949,241,-626782,6
23837,221098,4390,4149,6
24129,216799,91,-4299,6
24422,216871,163,72,6
24715,216861,153,-10,6
25343,1542686,1325978,1325825,7
25635,216798,90,-1325888,8
25927,216826,118,28,8
26219,216763,55,-63,8
26512,216663,-45,-100,8
26804,217064,356,401,8
27097,216848,140,-216,8
27388,216842,134,-6,8
27681,216957,249,115,8
27973,216880,172,-77,8
28266,231890,15182,15010,8
28897,216706,-2,-15184,8
29190,216887,179,181,8
29482,216824,116,-63,8
30113,216814,106,-10,8
30744,216726,18,-88,8
31036,216962,254,236,8
31329,216676,-32,-286,8
31621,217051,343,375,8
32251,221111,4403,4060,8
32543,216750,42,-4361,8
32836,217053,345,303,8
33128,217080,372,27,8
33419,216816,108,-264,8
33712,216888,180,72,8
34004,216812,104,-76,8
34297,216913,205,101,8
34589,216948,240,35,8
34881,216952,244,4,8
35513,144597,-72111,-72355,9
35804,217104,396,72507,10
36097,217031,323,-73,10
36389,216862,154,-169,10
36681,216839,131,-23,10
37312,1542722,1326014,1325883,11
37604,216916,208,-1325806,12
37897,216974,266,58,12
38189,216897,189,-77,12
38481,217008,300,111,12
38773,843759,627051,626751,13
39403,216880,172,-626879,14
39694,216819,111,-61,14
39987,216810,102,-9,14
40616,232010,15302,15200,14
40908,216891,183,-15119,14
41201,216866,158,-25,14
41493,216957,249,91,14
41785,216959,251,2,14
42077,216907,199,-52,14
42370,216699,-9,-208,14
42662,217153,445,454,14
42955,216865,157,-288,14
43247,216793,85,-72,14
43539,216894,186,101,14
43830,216940,232,46,14
44123,216844,136,-96,14
44415,216989,281,145,14
44708,216800,92,-189,14
45000,216844,136,44,14
45292,217034,326,190,14
45585,217006,298,-28,14
45877,217054,346,48,14
46169,216979,271,-75,14
46461,216911,203,-68,14
46754,216821,113,-90,14
47046,216839,131,18,14
47339,216960,252,121,14
47631,216885,177,-75,14
47922,217003,295,118,14
48555,216889,181,-114,14
48846,216741,33,-148,14
49477,217040,332,299,14
50108,216926,218,-114,14
50738,217048,340,122,14
51367,2940683,2723975,2723635,15
51659,216908,200,-2723775,16
51951,216985,277,77,16
52243,216849,141,-136,16
52536,216911,203,62,16
52828,144615,-72093,-72296,17
53456,216901,193,72286,18
53749,216852,144,-49,18
54041,217043,335,191,18
54333,216859,151,-184,18
54625,217053,345,194,18
54917,217048,340,-5,18
55210,217060,352,12,18
55502,216973,265,-87,18
55794,216891,183,-82,18
56086,216841,133,-50,18
56380,216776,68,-65,18
57008,144545,-72163,-72231,19
57300,216902,194,72357,20
57592,216924,216,22,20
58223,216959,251,35,20
58516,216969,261,10,20
59146,216969,261,0,20
59438,217074,366,105,20
59731,217027,319,-47,20
60023,216936,228,-91,20
60653,216985,277,49,20
60945,216841,133,-144,20
61576,216978,270,137,20
61869,217172,464,194,20
62161,216998,290,-174,20
62792,216865,157,-133,20
63084,216947,239,82,20
63376,221248,4540,4301,20
64005,217233,525,-4015,20
64298,217128,420,-105,20
64928,221089,4381,3961,20
65220,216905,197,-4184,20
65851,217042,334,137,20
66143,216903,195,-139,20
66435,216942,234,39,20
66728,216967,259,25,20
67019,231984,15276,15017,20
67649,216914,206,-15070,20
67941,217023,315,109,20
68573,144537,-72171,-72486,21
68866,216969,261,72432,22
69159,217033,325,64,22
69789,217085,377,52,22
70082,217000,292,-85,22
70374,216764,56,-236,22
70667,216941,233,177,22
70959,216734,26,-207,22
71252,216895,187,161,22
71543,216899,191,4,22
71835,216743,35,-156,22
