tempo_ms,hx_raw,hx_net,delta,spikes
291,227480,-186905,-186905,1
583,238377,-176008,10897,1
876,228406,-185979,-9971,1
1167,227402,-186983,-1004,1
1797,232196,-182189,4794,1
2090,875941,461556,643745,2
2719,297103,-117282,-578838,3
3347,201330,-213055,-95773,4
3639,248562,-165823,47232,4
4269,140152,-274233,-108410,5
4561,107416,-306969,-32736,5
5192,63214,-351171,-44202,5
5484,35587,-378798,-27627,5
6448,59494,-354891,23907,5
7077,47842,-366543,-11652,5
8043,-35399,-449784,-83241,6
9010,1688242,1273857,1723641,7
9303,589432,175047,-1098810,8
10269,3033534,2619149,2444102,9
10561,200108,-214277,-2833426,10
11527,129455,-284930,-70653,11
11819,90716,-323669,-38739,11
12111,51965,-362420,-38751,11
12742,99323,-315062,47358,11
13034,133107,-281278,33784,11
13326,143993,-270392,10886,11
13618,141835,-272550,-2158,11
14586,260661,-153724,118826,12
15218,2913067,2498682,2652406,13
15849,241413,-172972,-2671654,14
16479,205573,-208812,-35840,14
16771,98122,-316263,-107451,15
17401,91041,-323344,-7081,15
17693,214197,-200188,123156,16
17985,188056,-226329,-26141,16
18277,116058,-298327,-71998,17
18570,94154,-320231,-21904,17
19537,545329,130944,451175,18
20166,876332,461947,331003,19
21135,354474,-59911,-521858,20
22103,263868,-150517,-90606,21
23409,765094,350709,501226,22
23701,186467,-227918,-578627,23
24332,233192,-181193,46725,23
24623,370280,-44105,137088,24
25253,289453,-124932,-80827,25
25882,87312,-327073,-202141,26
26512,142852,-271533,55540,27
26804,272617,-141768,129765,28
27433,176522,-237863,-96095,29
28061,477738,63353,301216,30
29028,320812,-93573,-156926,31
29657,208355,-206030,-112457,32
29949,282875,-131510,74520,33
30579,191371,-223014,-91504,34
31207,189450,-224935,-1921,34
32174,305168,-109217,115718,35
32805,271113,-143272,-34055,35
33436,852809,438424,581696,36
34064,131122,-283263,-721687,37
34694,511955,97570,380833,38
35326,251009,-163376,-260946,39
35618,290191,-124194,39182,39
36922,307539,-106846,17348,39
37214,152968,-261417,-154571,40
38179,770759,356374,617791,41
38810,179308,-235077,-591451,42
39102,356301,-58084,176993,43
39731,153461,-260924,-202840,44
40361,152430,-261955,-1031,44
40990,148229,-266156,-4201,44
41956,2972020,2557635,2823791,45
42248,294652,-119733,-2677368,46
42877,523867,109482,229215,47
43845,217635,-196750,-306232,48
44136,1530441,1116056,1312806,49
44766,265048,-149337,-1265393,50
45058,248666,-165719,-16382,50
46026,178602,-235783,-70064,51
46654,425363,10978,246761,52
47619,2816605,2402220,2391242,53
48247,-75959,-490344,-2892564,54
48539,-7781,-422166,68178,55
48831,78622,-335763,86403,56
49123,207122,-207263,128500,57
49416,259681,-154704,52559,58
49708,255184,-159201,-4497,58
50001,273985,-140400,18801,58
50632,245445,-168940,-28540,58
50924,241569,-172816,-3876,58
51216,252718,-161667,11149,58
51508,236952,-177433,-15766,58
52474,1485481,1071096,1248529,59
53440,272304,-142081,-1213177,60
54408,742399,328014,470095,61
55372,449300,34915,-293099,62
55665,179682,-234703,-269618,63
55957,240761,-173624,61079,64
56926,132932,-281453,-107829,65
57891,62208,-352177,-70724,66
58183,117137,-297248,54929,67
58815,142697,-271688,25560,67
59445,28618,-385767,-114079,68
59736,-145060,-559445,-173678,69
60029,-19816,-434201,125244,70
60996,3570041,3155656,3589857,71
61963,42078,-372307,-3527963,72
62593,-22400,-436785,-64478,73
63560,814480,400095,836880,74
63853,176559,-237826,-637921,75
64144,180012,-234373,3453,75
64775,175806,-238579,-4206,75
65067,170421,-243964,-5385,75
65359,151240,-263145,-19181,75
65987,88547,-325838,-62693,76
66280,132874,-281511,44327,76
66907,87142,-327243,-45732,76
67873,761499,347114,674357,77
68165,70546,-343839,-690953,78
68457,71003,-343382,457,78
69426,88784,-325601,17781,78
69718,98460,-315925,9676,78
70010,125241,-289144,26781,78
70979,-65502,-479887,-190743,79
71948,9438,-404947,74940,80
72240,100604,-313781,91166,81
72532,164715,-249670,64111,82
72824,154657,-259728,-10058,82
73455,-10781,-425166,-165438,83
74084,-61280,-475665,-50499,84
74376,24414,-389971,85694,85
75345,154281,-260104,129867,86
75637,154756,-259629,475,86
76265,260044,-154341,105288,87
76558,-157580,-571965,-417624,88
76849,-451077,-865462,-293497,89
77142,-646655,-1061040,-195578,90
77434,-701650,-1116035,-54995,91
77726,-769406,-1183791,-67756,92
78018,-785690,-1200075,-16284,92
78647,-612583,-1026968,173107,93
78939,-975942,-1390327,-363359,94
79571,-824747,-1239132,151195,95
79862,-413304,-827689,411443,96
80155,-158061,-572446,255243,97
80446,14976,-399409,173037,98
80739,124967,-289418,109991,99
81368,162917,-251468,37950,99
81661,184873,-229512,21956,99
81953,195985,-218400,11112,99
82245,194505,-219880,-1480,99
82875,128716,-285669,-65789,100
83504,165933,-248452,37217,100
84475,206230,-208155,40297,100
84767,204668,-209717,-1562,100
85397,225409,-188976,20741,100
86362,786644,372259,561235,101
87328,1820195,1405810,1033551,102
87957,515250,100865,-1304945,103
89261,849749,435364,334499,104
89553,213290,-201095,-636459,105
89845,213500,-200885,210,105
90137,142309,-272076,-71191,106
90764,213616,-200769,71307,107
