tempo_ms,hx_raw,hx_net,delta,spikes,invalid
292,249139,14,14,0,0
585,248950,-175,-189,0,0
878,249106,-19,156,0,0
1170,249213,88,107,0,0
1463,249206,81,-7,0,0
1756,249151,26,-55,0,0
2049,249025,-100,-126,0,0
2342,249430,305,405,0,0
2635,249122,-3,-308,0,0
2928,248989,-136,-133,0,0
3220,249031,-94,42,0,0
3514,249003,-122,-28,0,0
3807,249085,-40,82,0,0
4099,248837,-288,-248,0,0
4392,249065,-60,228,0,0
4685,248896,-229,-169,0,0
4978,248848,-277,-48,0,0
5271,248827,-298,-21,0,0
5564,248973,-152,146,0,0
5857,248933,-192,-40,0,0
6149,248905,-220,-28,0,0
6443,249174,49,269,0,0
6735,248995,-130,-179,0,0
7029,248924,-201,-71,0,0
7321,248911,-214,-13,0,0
7614,248932,-193,21,0,0
7906,248785,-340,-147,0,0
8200,248767,-358,-18,0,0
8492,248881,-244,114,0,0
8785,249013,-112,132,0,0
9078,248898,-227,-115,0,0
9371,248726,-399,-172,0,0
9664,248780,-345,54,0,0
9957,248850,-275,70,0,0
10250,248628,-497,-222,0,0
10543,248606,-519,-22,0,0
10835,248637,-488,31,0,0
11129,248638,-487,1,0,0
11421,248650,-475,12,0,0
11714,248510,-615,-140,0,0
12008,248545,-580,35,0,0
12300,248683,-442,138,0,0
12593,248666,-459,-17,0,0
12885,248626,-499,-40,0,0
13179,248590,-535,-36,0,0
13472,248332,-793,-258,0,0
13764,248408,-717,76,0,0
14058,248515,-610,107,0,0
14351,248433,-692,-82,0,0
14643,248537,-588,104,0,0
14936,248547,-578,10,0,0
15229,248716,-409,169,0,0
15522,248564,-561,-152,0,0
15814,248539,-586,-25,0,0
16107,248472,-653,-67,0,0
16401,248524,-601,52,0,0
16694,248382,-743,-142,0,0
16986,248415,-710,33,0,0
17279,248470,-655,55,0,0
17572,248218,-907,-252,0,0
17865,248266,-859,48,0,0
18157,248315,-810,49,0,0
18451,248352,-773,37,0,0
18744,248148,-977,-204,0,0
19037,248103,-1022,-45,0,0
19329,248206,-919,103,0,0
19623,248275,-850,69,0,0
19915,248331,-794,56,0,0
20208,248039,-1086,-292,0,0
20501,248072,-1053,33,0,0
20794,248238,-887,166,0,0
21086,248218,-907,-20,0,0
21380,248337,-788,119,0,0
21672,248386,-739,49,0,0
21965,248078,-1047,-308,0,0
22258,248372,-753,294,0,0
22550,248335,-790,-37,0,0
22844,248097,-1028,-238,0,0
23136,248389,-736,292,0,0
23429,248440,-685,51,0,0
23723,248279,-846,-161,0,0
24015,248241,-884,-38,0,0
24307,248230,-895,-11,0,0
24601,248432,-693,202,0,0
24894,248333,-792,-99,0,0
25186,248274,-851,-59,0,0
25480,248193,-932,-81,0,0
25772,248290,-835,97,0,0
26065,248179,-946,-111,0,0
26357,248375,-750,196,0,0
26651,248385,-740,10,0,0
26943,248276,-849,-109,0,0
27236,248410,-715,134,0,0
27529,248453,-672,43,0,0
27821,248385,-740,-68,0,0
28115,248430,-695,45,0,0
28408,248429,-696,-1,0,0
28700,248540,-585,111,0,0
28994,248634,-491,94,0,0
29286,248690,-435,56,0,0
29579,248745,-380,55,0,0
29872,248704,-421,-41,0,0
30165,248748,-377,44,0,0
30457,248759,-366,11,0,0
30751,248673,-452,-86,0,0
31043,248648,-477,-25,0,0
31336,248667,-458,19,0,0
31628,248619,-506,-48,0,0
31922,248685,-440,66,0,0
32215,248494,-631,-191,0,0
32507,248438,-687,-56,0,0
32801,248334,-791,-104,0,0
33093,248418,-707,84,0,0
33386,248501,-624,83,0,0
33679,248540,-585,39,0,0
33971,248533,-592,-7,0,0
34264,248623,-502,90,0,0
34558,248621,-504,-2,0,0
34850,248656,-469,35,0,0
35144,248629,-496,-27,0,0
35436,248855,-270,226,0,0
35729,248909,-216,54,0,0
36021,248941,-184,32,0,0
36315,248876,-249,-65,0,0
36607,249028,-97,152,0,0
36900,249003,-122,-25,0,0
37193,248808,-317,-195,0,0
37486,248846,-279,38,0,0
37779,249018,-107,172,0,0
38071,248764,-361,-254,0,0
38364,248792,-333,28,0,0
38658,248911,-214,119,0,0
38950,248936,-189,25,0,0
39243,248847,-278,-89,0,0
39536,248975,-150,128,0,0
39828,249012,-113,37,0,0
40122,248910,-215,-102,0,0
40414,248851,-274,-59,0,0
40708,248813,-312,-38,0,0
41001,248685,-440,-128,0,0
41293,248894,-231,209,0,0
41585,248767,-358,-127,0,0
41878,248730,-395,-37,0,0
42172,248787,-338,57,0,0
42464,248706,-419,-81,0,0
42758,248744,-381,38,0,0
43050,248815,-310,71,0,0
43343,248756,-369,-59,0,0
43636,248680,-445,-76,0,0
43929,248802,-323,122,0,0
44222,248993,-132,191,0,0
44514,248807,-318,-186,0,0
44807,248772,-353,-35,0,0
45100,248733,-392,-39,0,0
45393,248622,-503,-111,0,0
45685,248369,-756,-253,0,0
45978,248487,-638,118,0,0
46272,248455,-670,-32,0,0
46565,248666,-459,211,0,0
46857,248598,-527,-68,0,0
47150,248750,-375,152,0,0
47443,248655,-470,-95,0,0
47736,248420,-705,-235,0,0
48028,248720,-405,300,0,0
48321,248600,-525,-120,0,0
48614,248641,-484,41,0,0
48907,248686,-439,45,0,0
49200,248687,-438,1,0,0
49493,248784,-341,97,0,0
49785,248730,-395,-54,0,0
50079,249051,-74,321,0,0
50371,249040,-85,-11,0,0
50664,248904,-221,-136,0,0
50958,249039,-86,135,0,0
51250,249061,-64,22,0,0
51543,249235,110,174,0,0
51836,249370,245,135,0,0
52129,249275,150,-95,0,0
52421,249298,173,23,0,0
52714,248914,-211,-384,0,0
53007,249198,73,284,0,0
53301,249152,27,-46,0,0
53593,249120,-5,-32,0,0
53886,249247,122,127,0,0
54178,249160,35,-87,0,0
54471,248895,-230,-265,0,0
54764,249132,7,237,0,0
55057,249302,177,170,0,0
55351,248953,-172,-349,0,0
55643,248881,-244,-72,0,0
55936,249028,-97,147,0,0
56229,248922,-203,-106,0,0
56521,249025,-100,103,0,0
56814,248967,-158,-58,0,0
57108,248915,-210,-52,0,0
57400,248930,-195,15,0,0
57693,248852,-273,-78,0,0
57985,248892,-233,40,0,0
58279,248697,-428,-195,0,0
58571,248842,-283,145,0,0
58864,248882,-243,40,0,0
59157,248933,-192,51,0,0
59450,248711,-414,-222,0,0
59743,248821,-304,110,0,0
60036,248678,-447,-143,0,0
60328,248648,-477,-30,0,0
60622,248716,-409,68,0,0
60914,248771,-354,55,0,0
61207,248593,-532,-178,0,0
61500,248696,-429,103,0,0
61793,248650,-475,-46,0,0
62085,248836,-289,186,0,0
62379,248784,-341,-52,0,0
62672,248723,-402,-61,0,0
62964,248712,-413,-11,0,0
63257,248612,-513,-100,0,0
63550,248498,-627,-114,0,0
63842,248673,-452,175,0,0
64135,248715,-410,42,0,0
64429,248759,-366,44,0,0
64722,248594,-531,-165,0,0
65014,248471,-654,-123,0,0
65307,248785,-340,314,0,0
65600,248420,-705,-365,0,0
65893,248700,-425,280,0,0
66185,248825,-300,125,0,0
66478,248753,-372,-72,0,0
66771,248771,-354,18,0,0
67064,248935,-190,164,0,0
67358,248753,-372,-182,0,0
67650,248773,-352,20,0,0
67943,248940,-185,167,0,0
68236,248765,-360,-175,0,0
68529,248626,-499,-139,0,0
68821,248763,-362,137,0,0
69114,248684,-441,-79,0,0
69408,248754,-371,70,0,0
69700,248709,-416,-45,0,0
69993,248787,-338,78,0,0
70286,248664,-461,-123,0,0
70578,248664,-461,0,0,0
70872,248421,-704,-243,0,0
71164,248421,-704,0,0,0
71458,248515,-610,94,0,0
71750,248582,-543,67,0,0
72043,248696,-429,114,0,0
72336,248774,-351,78,0,0
72629,248552,-573,-222,0,0
72921,248779,-346,227,0,0
73215,248587,-538,-192,0,0
73507,248478,-647,-109,0,0
73800,248627,-498,149,0,0
74093,248584,-541,-43,0,0
74386,248417,-708,-167,0,0
74679,248730,-395,313,0,0
74971,248664,-461,-66,0,0
75265,248602,-523,-62,0,0
75557,248585,-540,-17,0,0
75851,248566,-559,-19,0,0
76143,248691,-434,125,0,0
76436,248453,-672,-238,0,0
76729,248639,-486,186,0,0
77022,248476,-649,-163,0,0
77314,248485,-640,9,0,0
77608,248382,-743,-103,0,0
77900,248437,-688,55,0,0
78194,248444,-681,7,0,0
78486,248560,-565,116,0,0
78779,248459,-666,-101,0,0
79072,248433,-692,-26,0,0
79365,248299,-826,-134,0,0
79658,248459,-666,160,0,0
79950,248376,-749,-83,0,0
80243,248422,-703,46,0,0
80537,248342,-783,-80,0,0
80830,248228,-897,-114,0,0
81122,248311,-814,83,0,0
81415,248423,-702,112,0,0
81708,248513,-612,90,0,0
82000,248328,-797,-185,0,0
82294,248258,-867,-70,0,0
82587,248335,-790,77,0,0
82880,248331,-794,-4,0,0
83172,248080,-1045,-251,0,0
83465,248326,-799,246,0,0
83758,248291,-834,-35,0,0
84051,248263,-862,-28,0,0
84344,248279,-846,16,0,0
84636,248252,-873,-27,0,0
84929,248078,-1047,-174,0,0
85223,248158,-967,80,0,0
85515,248384,-741,226,0,0
85808,248155,-970,-229,0,0
86101,248144,-981,-11,0,0
86393,248209,-916,65,0,0
86687,247907,-1218,-302,0,0
86980,247949,-1176,42,0,0
87272,248163,-962,214,0,0
87565,247978,-1147,-185,0,0
87858,248213,-912,235,0,0
88151,248133,-992,-80,0,0
88444,247897,-1228,-236,0,0
88737,248066,-1059,169,0,0
89030,248069,-1056,3,0,0
89323,248063,-1062,-6,0,0
89615,248034,-1091,-29,0,0
89908,248115,-1010,81,0,0
90201,247982,-1143,-133,0,0
90494,247966,-1159,-16,0,0
90786,248189,-936,223,0,0
91080,248064,-1061,-125,0,0
91373,247967,-1158,-97,0,0
91665,247729,-1396,-238,0,0
91958,247933,-1192,204,0,0
92252,247983,-1142,50,0,0
92544,248041,-1084,58,0,0
92837,248080,-1045,39,0,0
93129,248134,-991,54,0,0
93423,248196,-929,62,0,0
93715,248235,-890,39,0,0
94008,248198,-927,-37,0,0
94301,248037,-1088,-161,0,0
94594,248021,-1104,-16,0,0
94887,248222,-903,201,0,0
95180,248046,-1079,-176,0,0
95473,248177,-948,131,0,0
95765,248113,-1012,-64,0,0
96059,247929,-1196,-184,0,0
96351,248076,-1049,147,0,0
96644,248179,-946,103,0,0
96937,248110,-1015,-69,0,0
97230,248280,-845,170,0,0
97522,248394,-731,114,0,0
97816,248400,-725,6,0,0
98108,248273,-852,-127,0,0
98402,248244,-881,-29,0,0
98694,248667,-458,423,0,0
98987,248642,-483,-25,0,0
99280,248722,-403,80,0,0
99572,248756,-369,34,0,0
99866,248832,-293,76,0,0
100158,248865,-260,33,0,0
100451,248825,-300,-40,0,0
100744,248910,-215,85,0,0
101037,248789,-336,-121,0,0
101330,248873,-252,84,0,0
101622,248766,-359,-107,0,0
101916,248781,-344,15,0,0
102208,248860,-265,79,0,0
102501,248816,-309,-44,0,0
102795,248808,-317,-8,0,0
103087,248483,-642,-325,0,0
103380,248762,-363,279,0,0
103673,248716,-409,-46,0,0
103965,248701,-424,-15,0,0
104258,248519,-606,-182,0,0
104552,248771,-354,252,0,0
104844,248646,-479,-125,0,0
105137,248773,-352,127,0,0
105430,248745,-380,-28,0,0
105723,248624,-501,-121,0,0
106015,248622,-503,-2,0,0
106308,248538,-587,-84,0,0
106602,248716,-409,178,0,0
106894,248619,-506,-97,0,0
107187,248561,-564,-58,0,0
107479,248404,-721,-157,0,0
107773,248475,-650,71,0,0
108066,248629,-496,154,0,0
108358,248670,-455,41,0,0
108651,248648,-477,-22,0,0
108944,248580,-545,-68,0,0
109237,248397,-728,-183,0,0
109530,248552,-573,155,0,0
109823,248516,-609,-36,0,0
110116,248363,-762,-153,0,0
110408,248482,-643,119,0,0
110702,248519,-606,37,0,0
110994,248675,-450,156,0,0
111287,248615,-510,-60,0,0
111580,248409,-716,-206,0,0
111873,248531,-594,122,0,0
112166,248756,-369,225,0,0
112458,248611,-514,-145,0,0
112751,248660,-465,49,0,0
113479,248515,-610,-145,0,1
113772,248434,-691,-81,0,1
114065,248462,-663,28,0,1
114358,248415,-710,-47,0,1
114650,248416,-709,1,0,1
114944,248429,-696,13,0,1
115236,248437,-688,8,0,1
115530,248247,-878,-190,0,1
115822,248360,-765,113,0,1
116115,248208,-917,-152,0,1
116408,248358,-767,150,0,1
116700,248121,-1004,-237,0,1
116994,248257,-868,136,0,1
117287,248299,-826,42,0,1
117579,248399,-726,100,0,1
117873,248286,-839,-113,0,1
118165,248218,-907,-68,0,1
118458,248187,-938,-31,0,1
118751,248306,-819,119,0,1
119044,248226,-899,-80,0,1
119336,248121,-1004,-105,0,1
119630,248296,-829,175,0,1
119922,248067,-1058,-229,0,1
120215,248195,-930,128,0,1
120508,248030,-1095,-165,0,1
120801,248069,-1056,39,0,1
121094,248181,-944,112,0,1
121387,248096,-1029,-85,0,1
121679,248099,-1026,3,0,1
121973,248218,-907,119,0,1
122266,248104,-1021,-114,0,1
122558,248144,-981,40,0,1
122851,248063,-1062,-81,0,1
123144,248122,-1003,59,0,1
123437,248010,-1115,-112,0,1
123729,247999,-1126,-11,0,1
124022,248060,-1065,61,0,1
124316,248219,-906,159,0,1
124608,247943,-1182,-276,0,1
124902,247950,-1175,7,0,1
125194,248107,-1018,157,0,1
125487,248085,-1040,-22,0,1
125780,248226,-899,141,0,1
126073,248093,-1032,-133,0,1
126365,248182,-943,89,0,1
126659,248271,-854,89,0,1
126951,248214,-911,-57,0,1
127244,248396,-729,182,0,1
127537,248260,-865,-136,0,1
127831,248285,-840,25,0,1
128123,248304,-821,19,0,1
128416,248310,-815,6,0,1
128708,248255,-870,-55,0,1
129002,248324,-801,69,0,1
129294,248257,-868,-67,0,1
129587,248455,-670,198,0,1
129880,248299,-826,-156,0,1
130173,248346,-779,47,0,1
130466,248318,-807,-28,0,1
130759,248369,-756,51,0,1
131052,248132,-993,-237,0,1
131345,248203,-922,71,0,1
131637,248296,-829,93,0,1
131930,248210,-915,-86,0,1
132223,248299,-826,89,0,1
132516,248220,-905,-79,0,1
132809,248230,-895,10,0,1
133102,248361,-764,131,0,1
133395,248539,-586,178,0,1
133687,248185,-940,-354,0,1
133980,248115,-1010,-70,0,1
134273,248238,-887,123,0,1
134566,248241,-884,3,0,1
134859,248233,-892,-8,0,1
135152,248352,-773,119,0,1
135445,248470,-655,118,0,1
135738,248403,-722,-67,0,1
136031,248132,-993,-271,0,1
136323,248174,-951,42,0,1
136616,248304,-821,130,0,1
136909,248504,-621,200,0,1
137202,248331,-794,-173,0,1
137495,248375,-750,44,0,1
137788,248296,-829,-79,0,1
138081,248360,-765,64,0,1
138373,248220,-905,-140,0,1
