tempo_ms,hx_raw,hx_net,invalid,beep_up,beep_down,trim_release,limit_top,limit_bottom,movement,ap,hyd,pos
287,215137,-124,0,0,0,0,0,1,0,0,0,0
578,214918,-343,0,0,0,0,0,1,0,0,0,0
871,215002,-259,0,0,0,0,0,1,0,0,0,0
1162,214842,-419,0,0,0,0,0,1,0,0,0,0
1454,214975,-286,0,0,0,0,0,1,0,0,0,0
1745,214841,-420,0,0,0,0,0,1,0,0,0,0
2037,214978,-283,0,0,0,0,0,1,0,0,0,0
2328,214746,-515,0,0,0,0,0,1,0,0,0,0
2620,215211,-50,0,0,0,0,0,1,0,0,0,0
2912,216196,935,0,0,0,0,0,1,0,0,0,0
3204,229176,13915,0,0,0,0,0,1,0,0,0,0
3495,249867,34606,0,0,0,0,0,1,0,0,0,0
3787,260280,45019,0,0,0,0,0,1,0,0,0,0
4078,274567,59306,0,0,0,0,0,0,0,0,0,0
4370,237917,22656,0,0,1,0,0,0,-1,0,0,0
4661,248345,33084,0,0,1,0,0,0,-1,0,0,0
4953,279126,63865,0,0,1,0,0,0,-1,0,0,0
5244,301633,86372,0,0,1,0,0,0,-1,0,0,0
5537,307087,91826,0,0,1,0,0,0,-1,0,0,0
5828,313005,97744,0,0,1,0,0,0,-1,0,0,0
6120,312834,97573,0,0,1,0,0,0,-1,0,0,0
6411,325930,110669,0,0,1,0,0,0,-1,0,0,0
6703,348124,132863,0,0,1,0,0,0,-1,0,0,0
6994,358328,143067,0,0,1,0,0,0,-1,0,0,0
7286,362355,147094,0,0,1,0,0,0,-1,0,0,0
7577,319613,104352,0,0,1,0,0,0,-1,0,0,0
7870,316092,100831,0,0,1,0,0,0,-1,0,0,0
8161,340307,125046,0,0,1,0,0,0,-1,0,0,0
8453,329724,114463,0,0,1,0,0,0,-1,0,0,0
8744,312973,97712,0,0,1,0,0,0,-1,0,0,0
9036,350097,134836,0,0,1,0,0,0,-1,0,0,0
9327,348963,133702,0,0,1,0,0,0,-1,0,0,0
9619,302978,87717,0,0,1,0,0,0,-1,0,0,0
9910,327080,111819,0,0,1,0,0,0,-1,0,0,0
10203,332498,117237,0,0,1,0,0,0,-1,0,0,0
